english,romaji,yomigana,kanji
Hospital,Byōin,びょういん,病院
Police station,Keisatsusho,けいさつしょ,警察署
Police box,Kōban,こうばん,交番	
Fire station,Shoubousho,しょうぼうしょ,消防署	
Post office,Yuubinkyoku,ゆうびんきょく,郵便局		
School,Gakkou,がっこう,学校		
House,Juutaku,じゅうたく,住宅			
Book store,Honya,ほんや,本屋		
Department store,Depāto,デパート,	
Library,Toshokan,としょかん,図書館
Bank,Ginkou,ぎんこう,銀行
Restaurant,Resutoran,レストラン,
Hotel,Hoteru,ホテル,
Japanese hotel / Inn,Ryokan,りょかん,旅館
Hostel / dormitory,Ryou,りょう,寮 	 	
Park,Kōen,こうえん,
Art Museum,Bijutsukan,びじゅつかん,
Museum,Hakubutsukan,はくぶつかん,
Airport,Kūkō,くうこう,
Port,Minato,みなと,港
Beauty / Hair Salon,Biyōin,びよういん,美容院
School,Gakkō,がっこう,学校
Elementary school,Shōgakkō,しょうがっこう,学校
Junior high school,Chūgakkō,ちゅうがっこう,中学校
Senior High School,Kūkū,こうこう,高校
Shrine,Jinja,じんじゃ,神社 
Fish shop,Sakanaya,さかなや,魚屋
Barbershop,Tokoya,とこや,床屋
Bakery,Panya,パンや,パン屋
Bar / Pub,Izakaya,いざかや,居酒屋
Movie theater,Eigakan,えいがかん,映画館
Fruit and vegetable shop,Yaoya,やおや,八百屋
Pharmacy,Kusuriya,くすりや,薬屋
Neighborhood,Kinjo,きんじょ,近所 	 		
Shop,Mise,みせ,店
University,Daigaku,だいがく,大学
Kindergarten,Yōchien,ようちえん,幼稚園 			
Apartment,Apa-to,アパート, 		
